Timestamp,delivery_count,share_size,delivery_method,known_csf,csf_impact,grocery_influence,necessary_grocery,grocery_budget,covid_end,found_out,primary_motivations,seafood_quality,frozen_seafood,seafood_types,pickup_experience,pick_location,customer_service,recipes,home_delivery,special_order,website_experience,cooking_seafood,economic_health,fisher_livelihood,ocean_health,less_waste,fisher_access,species_education,member_events,nonseafood_addons,ocean_connection,community_connection,fisher_connection,affected_health,fair_price,recommend,other_csf,feedback,gender,age,household_number,grocery_expenditure ,income,name,
4/24/2020 12:46:50,7-9,Small,At a pick up location,Yes,Neutral,Did not influence,Yes,Increased,Likely to continue,Friend,"Quality/freshness, Access to variety or hard to find products, Personal health, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Convenience, Supporting the local economy",very satisfied,very satisfied,very satisfied,slightly unsatisfied,slightly unsatisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,somewhat important,highly important,somewhat more than before,somewhat more than before,somewhat more than before,much more than before,"Yes, it's fair",I already have,Yes,On my last delivery there was a missing item,Female,25-34,2,$101 - $150,< $50K,,
4/24/2020 12:47:03,10 or more,Small,At a pick up location,Yes,Neutral,Slightly Influenced,Yes,Increased,Likely to continue,Friend,"Quality/freshness, Price, Access to variety or hard to find products, Personal health, Environmental sustainabilty, Connecting to community, Trustworthy/transparent sourcing, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,important,not important,important,much more than before,much more than before,much more than before,much more than before,It's a little overpriced,I already have,No,,Female,25-34,2,$101 - $150,< $50K,,
4/24/2020 12:47:15,10 or more,Small,Home delivery,Yes,Neutral,Did not influence,"No, it is extra",Increased,Likely to continue,Friend,"Quality/freshness, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,very satisfied,satisfied,N/A,N/A,very satisfied,satisfied,very satisfied,satisfied,satisfied,easy,important,important,important,somewhat important,highly important,highly important,not important,important,the same/not at all,the same/not at all,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,Yes,,Female,25-34,2,$101 - $150,$101 - $150K,,
4/24/2020 12:50:03,10 or more,Medium,At a pick up location,Yes,Large Positive Impact,Did not influence,Yes,No Change,Likely to continue,Friend,"Quality/freshness, Environmental sustainabilty, Connecting to community",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,not important,not important,somewhat more than before,much more than before,much more than before,much more than before,"Yes, it's fair",I already have,No,,Female,55-64,2,$101 - $150,$101 - $150K,,
4/24/2020 12:50:23,10 or more,Small,At a pick up location,Yes,Neutral,Did not influence,Sometimes,No Change,Likely to continue,Friend,"Quality/freshness, Environmental sustainabilty, Connecting to community, Trustworthy/transparent sourcing, Taking a decision out of your meal planning, Supporting the local economy",very satisfied,satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,it's ok,do-able,important,important,highly important,highly important,highly important,somewhat important,not important,not important,the same/not at all,somewhat more than before,somewhat more than before,the same/not at all,It's a little overpriced,I already have,No,,Rather not say,25-34,1,$51 - $100,$50 - $100K,,
4/24/2020 12:50:33,10 or more,Small,At a pick up location,Yes,Neutral,Did not influence,Sometimes,No Change,Likely to continue,Searched for local businesses,"Quality/freshness, Environmental sustainabilty, Supporting the local economy",very satisfied,N/A,very satisfied,very satisfied,very satisfied,very satisfied,N/A,N/A,N/A,very satisfied,do-able,highly important,highly important,highly important,highly important,highly important,important,not important,not important,somewhat more than before,somewhat more than before,the same/not at all,somewhat more than before,It's a little overpriced,I already have,Yes,the ziploc plastic bags every week!!! very very badddd,Male,25-34,4,$51 - $100,< $50K,,
4/24/2020 12:51:25,10 or more,Small,At a pick up location,Yes,Large Positive Impact,Slightly Influenced,Yes,Increased,Likely to continue,EpicureanSB,"Quality/freshness, Trustworthy/transparent sourcing, Supporting the local economy",very unsatisfied,very unsatisfied,very unsatisfied,very unsatisfied,very unsatisfied,very unsatisfied,very unsatisfied,N/A,very unsatisfied,very unsatisfied,easy,highly important,highly important,highly important,important,highly important,highly important,highly important,highly important,somewhat more than before,much more than before,much more than before,somewhat more than before,"Yes, it's fair",I already have,Yes,It would be great to have delivery on Wednesday vs Thursday as we normally go out Thursday ( or once the pandemic passes) ,Female,45-54,4,$151 - $200,Rather not say,Allison Paolino,
4/24/2020 12:52:47,10 or more,Small,At a pick up location,Yes,Neutral,Did not influence,Yes,No Change,Likely to continue,Social Media,"Quality/freshness, Environmental sustainabilty, Supporting the local economy",very satisfied,satisfied,very satisfied,very satisfied,very satisfied,satisfied,satisfied,N/A,N/A,satisfied,easy,important,important,important,important,important,important,somewhat important,somewhat important,the same/not at all,the same/not at all,the same/not at all,somewhat more than before,"Yes, it's fair",Likely,No,,Male,65+,2,$101 - $150,$101 - $150K,,
4/24/2020 12:54:36,10 or more,Small,At a pick up location,Yes,Neutral,Greatly Influenced,Yes,No Change,Likely to continue,"Friend, Current member, Previous member","Quality/freshness, Environmental sustainabilty, Connecting to community, Education about fisheries, cooking and/or the ocean, Trustworthy/transparent sourcing, Supporting the local economy",very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,very satisfied,N/A,very satisfied,very satisfied,exactly what I want,highly important,highly important,highly important,highly important,highly important,highly important,highly important,important,much more than before,much more than before,much more than before,much more than before,"Yes, it's fair",I already have,No,,Female,18-24,2,$51 - $100,< $50K,Becca ,
4/24/2020 12:54:50,10 or more,Small,Home delivery,Yes,Neutral,Did not influence,Sometimes,No Change,Likely to continue,Previous member,"Quality/freshness, Environmental sustainabilty, Trustworthy/transparent sourcing",very satisfied,N/A,very satisfied,N/A,N/A,very satisfied,satisfied,very satisfied,N/A,N/A,easy,highly important,highly important,highly important,highly important,highly important,highly important,indifferent,indifferent,the same/not at all,somewhat more than before,somewhat more than before,the same/not at all,"Yes, it's fair",I already have,No,,Male,65+,2,$101 - $150,Over $250K,,
